TITLE,field_param_diameter,field_param_height,field_param_width,field_param_depth,field_param_cutout,field_param_lsp_tech,field_param_woofer_size,field_param_tweeter_size,field_param_mounting_system,field_param_transformer_tabs,field_param_low_z_applicable,field_param_100v_applicable,field_param_impedance,field_param_low_z_power,field_param_spl,field_param_maxspl,field_param_freq_response,field_param_material,field_param_grille_material,field_param_ip_klass,field_param_lsp_type,field_param_lsp_form,field_param_lsp_active,field_param_h_dispersion,field_param_v_dispersion,field_param_19_rack,field_param_height_u,field_param_power_vac,field_param_power_vdc,field_param_100v_output,field_param_low_z_output,field_param_consumption_power,field_param_output_power_100v,field_param_output_power_4,field_param_output_power_8,field_param_output_power_bridge,field_param_min_impedance,field_param_channel_qty,field_param_zone_qty,field_param_mic_bal_input,field_param_mic_unbal_input,field_param_mic_phantom_input,field_param_line_phantom_input,field_param_line_bal_input,field_param_line_unbal_input,field_param_tone_control,field_param_suhoi_contact,field_param_vox_mute,field_param_din_don_,field_param_prior_output,field_param_fan_or_not,field_param_rs232,field_param_remote_control,field_param_volume_control,field_param_matrix,field_param_ethernet_control,field_param_bal_output,field_param_unbal_output,field_param_digital_output,field_param_ir_control,field_param_tuner,field_param_internet_radio,field_param_usb,field_param_sd_card,field_param_cd
HM25,206,,,266,,Компрессионный драйвер,,,U-кронштейн,25-20-10,Нет,Есть,,,103,117,300 - 15k,Алюминий,,66,Рупор / Прожектор,,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPLT32,,250,360,290,,Двухполосная,6.5,1,U-кронштейн,32-16-8-4,Нет,Есть,,,98,113,75 - 18k,ABS пластик,,66,Рупор / Прожектор,,,105°,140°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPLT62,,250,360,290,,Двухполосная,6.5,1,U-кронштейн,62-32-16-8,Нет,Есть,,,98,115,75 - 18k,ABS пластик,,66,Рупор / Прожектор,,,105°,140°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP16,,138,156,228,,Двойной диффузор,5,,U-кронштейн,16-10-5,Нет,Есть,,,91,103,100 - 18k,ABS пластик,Алюминий,56,Рупор / Прожектор,,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP26,,170,187,270,,Двойной диффузор,6.5,,U-кронштейн,26-20-10,Нет,Есть,,,92,107,90 - 19k,ABS пластик,Алюминий,56,Рупор / Прожектор,,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPBD20,,140,144,270,,Двойной диффузор,5.25,,U-кронштейн,20-10-5,Нет,Есть,,,91,100,150 - 20k,ABS пластик,Алюминий,64,Рупор / Прожектор,,,80°,80°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPH31,,170,226,244,,Однополосная,5.25,,U-кронштейн,30-15-7.5-4,Есть,Есть,8,30,92,107,120 - 15k,ABS пластик,,54,Рупор / Прожектор,,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA30,,,,250,,,,,,,,,,,,,60 - 20k,,,,,,,,,Да,2,100 - 240,,Есть,Нет,60,30,,,,4,1,1,2,1,1,1,1,3,Есть,Есть,Есть,Есть,Есть,Конвекционное,,,На передней панели,,,,,,,,,,,
MA35,,,,297,,,,,,,,,,,,,60 - 18k,,,,,,,,,Да,2,115 - 230,12,Есть,Есть,100,35,,35,,8,1,1,3,,3,,,2,Есть,Есть,Есть,Есть,,Конвекционное,,,На передней панели,,,,,,,,,,,
MA60,,,,250,,,,,,,,,,,,,60 - 20k,,,,,,,,,Да,2,100 - 240,,Есть,Нет,100,60,,,,4,1,1,2,1,1,1,1,3,Есть,Есть,Есть,Есть,Есть,Конвекционное,,,На передней панели,,,,,,,,,,,
MA65,,,,297,,,,,,,,,,,,,60 - 18k,,,,,,,,,Да,2,115 - 230,24,Есть,Есть,170,65,,65,,8,1,1,3,,3,,,2,Есть,Есть,Есть,Есть,,Конвекционное,,,На передней панели,,,,,,,,,,,
MA120,,,,300,,,,,,,,,,,,,60 - 20k,,,,,,,,,Да,2,100 - 240,,Есть,Нет,160,120,,,,4,1,1,3,2,2,1,2,5,Есть,Есть,Есть,Есть,Есть,Конвекционное,,,На передней панели,,,,,,,,,,,
